timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749797916828,1111,Launch Wikipedia,200,OK,Thread Group 1-9,text,true,,23594,451,20,20,https://www.wikipedia.org/,1091,0,933
1749797917076,864,Launch Wikipedia,200,OK,Thread Group 1-14,text,true,,23594,451,20,20,https://www.wikipedia.org/,843,0,685
1749797917378,561,Launch Wikipedia,200,OK,Thread Group 1-20,text,true,,23594,451,20,20,https://www.wikipedia.org/,541,0,383
1749797917176,762,Launch Wikipedia,200,OK,Thread Group 1-16,text,true,,23594,451,20,20,https://www.wikipedia.org/,743,0,585
1749797917226,715,Launch Wikipedia,200,OK,Thread Group 1-17,text,true,,23594,451,20,20,https://www.wikipedia.org/,693,0,535
1749797917026,914,Launch Wikipedia,200,OK,Thread Group 1-13,text,true,,23594,451,20,20,https://www.wikipedia.org/,893,0,735
1749797916727,1212,Launch Wikipedia,200,OK,Thread Group 1-7,text,true,,23594,451,20,20,https://www.wikipedia.org/,1192,0,1034
1749797916930,1011,Launch Wikipedia,200,OK,Thread Group 1-11,text,true,,23594,451,20,20,https://www.wikipedia.org/,989,0,831
1749797917126,814,Launch Wikipedia,200,OK,Thread Group 1-15,text,true,,23594,451,20,20,https://www.wikipedia.org/,793,0,635
1749797916619,1322,Launch Wikipedia,200,OK,Thread Group 1-1,text,true,,23594,451,20,20,https://www.wikipedia.org/,1299,0,1141
1749797916629,1312,Launch Wikipedia,200,OK,Thread Group 1-5,text,true,,23594,451,20,20,https://www.wikipedia.org/,1290,0,1132
1749797916777,1161,Launch Wikipedia,200,OK,Thread Group 1-8,text,true,,23594,451,20,20,https://www.wikipedia.org/,1142,0,984
1749797916676,1266,Launch Wikipedia,200,OK,Thread Group 1-6,text,true,,23594,451,20,20,https://www.wikipedia.org/,1243,0,1085
1749797916619,1318,Launch Wikipedia,200,OK,Thread Group 1-2,text,true,,23594,451,20,20,https://www.wikipedia.org/,1299,0,1141
1749797917326,613,Launch Wikipedia,200,OK,Thread Group 1-19,text,true,,23594,451,20,20,https://www.wikipedia.org/,593,0,435
1749797916620,1318,Launch Wikipedia,200,OK,Thread Group 1-4,text,true,,23594,451,20,20,https://www.wikipedia.org/,1299,0,1141
1749797917277,664,Launch Wikipedia,200,OK,Thread Group 1-18,text,true,,23594,451,20,20,https://www.wikipedia.org/,642,0,484
1749797916875,1064,Launch Wikipedia,200,OK,Thread Group 1-10,text,true,,23594,451,20,20,https://www.wikipedia.org/,1044,0,886
1749797916976,964,Launch Wikipedia,200,OK,Thread Group 1-12,text,true,,23594,451,20,20,https://www.wikipedia.org/,943,0,785
1749797916620,1318,Launch Wikipedia,200,OK,Thread Group 1-3,text,true,,23594,451,20,20,https://www.wikipedia.org/,1299,0,1141
1749797917951,892,Search Performance Testing,200,OK,Thread Group 1-17,text,true,,16641,1610,20,20,https://en.wikipedia.org/wiki/Performance_Testing,513,0,240
1749797917951,513,Search Performance Testing-0,302,Found,Thread Group 1-17,text,true,,1593,544,20,20,https://en.wikipedia.org/wiki/Special:Search?search=Performance+Testing&go=Go,513,0,240
